"date","week_in_month","department","day","team","targeted_productivity","smv","over_time","incentive","idle_time","idle_men","no_of_style_change","no_of_workers","actual_productivity","wip_sewing","Y"
2015-01-01,"week_1",0,"Thursday","8",0.8,26.16,7080,98,0,0,0,59,0.940725424,1108,1
2015-01-01,"week_1",1,"Thursday","1",0.75,3.94,960,0,0,0,0,8,0.8865,0,1
2015-01-01,"week_1",0,"Thursday","11",0.8,11.41,3660,50,0,0,0,31,0.800570492,968,1
2015-01-01,"week_1",0,"Thursday","12",0.8,11.41,3660,50,0,0,0,31,0.800570492,968,1
2015-01-01,"week_1",0,"Thursday","6",0.8,25.9,1920,50,0,0,0,56,0.800381944,1170,1
2015-01-01,"week_1",0,"Thursday","7",0.8,25.9,6720,38,0,0,0,56,0.800125,984,1
2015-01-01,"week_1",1,"Thursday","2",0.75,3.94,960,0,0,0,0,8,0.755166667,0,1
2015-01-01,"week_1",0,"Thursday","3",0.75,28.08,6900,45,0,0,0,58,0.753683478,795,1
2015-01-01,"week_1",0,"Thursday","2",0.75,19.87,6000,34,0,0,0,55,0.753097531,733,1
2015-01-01,"week_1",0,"Thursday","1",0.75,28.08,6900,45,0,0,0,58,0.750427826,681,1
2015-01-01,"week_1",0,"Thursday","9",0.7,28.08,6900,44,0,0,0,58,0.721126957,872,1
2015-01-01,"week_1",0,"Thursday","10",0.75,19.31,6480,45,0,0,0,54,0.712205247,578,0
2015-01-01,"week_1",0,"Thursday","5",0.8,11.41,3660,50,0,0,0,31,0.707045902,668,0
2015-01-01,"week_1",1,"Thursday","10",0.65,3.94,960,0,0,0,0,8,0.705916667,0,1
2015-01-01,"week_1",1,"Thursday","8",0.75,2.9,960,0,0,0,0,8,0.676666667,0,0
2015-01-01,"week_1",1,"Thursday","4",0.75,3.94,2160,0,0,0,0,18,0.593055556,0,0
2015-01-01,"week_1",1,"Thursday","7",0.8,2.9,960,0,0,0,0,8,0.540729167,0,0
2015-01-01,"week_1",0,"Thursday","4",0.65,23.69,7200,0,0,0,0,60,0.52118,861,0
2015-01-01,"week_1",1,"Thursday","11",0.7,4.15,1440,0,0,0,0,12,0.436326389,0,0
2015-01-03,"week_1",1,"Saturday","4",0.8,4.15,6600,0,0,0,0,20,0.988024691,0,1
2015-01-03,"week_1",1,"Saturday","11",0.75,2.9,5640,0,0,0,0,17,0.987880435,0,1
2015-01-03,"week_1",1,"Saturday","9",0.8,4.15,960,0,0,0,0,8,0.956270833,0,1
2015-01-03,"week_1",1,"Saturday","3",0.75,3.94,1560,0,0,0,0,8,0.945277778,0,1
2015-01-03,"week_1",1,"Saturday","1",0.8,3.94,960,0,0,0,0,8,0.902916667,0,1
2015-01-03,"week_1",0,"Saturday","1",0.8,28.08,6300,50,0,0,0,57,0.800725314,772,1
2015-01-03,"week_1",0,"Saturday","3",0.8,28.08,6540,50,0,0,0,55,0.800322936,913,1
2015-01-03,"week_1",0,"Saturday","8",0.8,26.16,7080,50,0,0,0,59,0.800318644,1261,1
2015-01-03,"week_1",0,"Saturday","12",0.8,26.16,7080,63,0,0,0,59,0.800318644,844,1
2015-01-03,"week_1",0,"Saturday","11",0.8,11.61,7080,50,0,0,0,30,0.800237288,1005,1
