"week_in_monthweek_2","week_in_monthweek_3","week_in_monthweek_4","department","daySaturday","daySunday","dayThursday","dayTuesday","dayWednesday","team2","team3","team4","team5","team6","team7","team8","team9","team10","team11","team12","targeted_productivity","smv","over_time","incentive","no_of_style_change","no_of_workers","wip_sewing","y"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,26.16,7080,98,0,59,1108,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,3.94,960,0,0,8,0,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,11.41,3660,50,0,31,968,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,11.41,3660,50,0,31,968,1
0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,25.9,1920,50,0,56,1170,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,25.9,6720,38,0,56,984,1
0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,3.94,960,0,0,8,0,1
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,28.08,6900,45,0,58,795,1
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,19.87,6000,34,0,55,733,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,28.08,6900,45,0,58,681,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,28.08,6900,44,0,58,872,1
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,19.31,6480,45,0,54,578,0
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,11.41,3660,50,0,31,668,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.65,3.94,960,0,0,8,0,1
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.75,2.9,960,0,0,8,0,0
0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.75,3.94,2160,0,0,18,0,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,2.9,960,0,0,8,0,0
0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.65,23.69,7200,0,0,60,861,0
0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.7,4.15,1440,0,0,12,0,0
0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,4.15,6600,0,0,20,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,2.9,5640,0,0,17,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8,4.15,960,0,0,8,0,1
0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,3.94,1560,0,0,8,0,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.94,960,0,0,8,0,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,28.08,6300,50,0,57,772,1
0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.8,28.08,6540,50,0,55,913,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,26.16,7080,50,0,59,1261,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,26.16,7080,63,0,59,844,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,11.61,7080,50,0,30,1005,1
0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,11.61,7080,50,0,32,659,1
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,25.9,6720,50,0,56,1152,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,25.9,6720,38,0,56,1138,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.75,19.31,6480,56,0,54,610,1
0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,4.15,960,0,0,8,0,0
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.75,19.87,6600,45,0,55,944,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7,4.15,960,0,0,8,0,1
0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.7,23.69,13800,0,0,60,544,1
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.7,28.08,6900,40,0,58,1072,1
0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,2.9,960,0,0,8,0,0
0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,3.94,960,0,0,8,0,0
0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,4.15,1560,0,0,8,0,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8,3.94,960,0,0,8,0,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,3.94,960,0,0,8,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.8,11.61,6975,50,0,31,539,1
0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,3.94,6600,0,0,20,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.8,26.16,7080,60,0,59,1278,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,25.9,7020,60,0,57,1227,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,25.9,6780,45,0,57,1039,1
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.8,28.08,4260,50,0,56,878,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,26.16,7080,63,0,59,1033,1
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,28.08,6660,50,0,56,782,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,11.61,6975,50,0,31,1216,1
0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.8,3.94,960,0,0,8,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7,3.94,4320,0,0,18,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,19.31,6480,45,0,54,513,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.75,19.87,6600,45,0,55,734,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.7,28.08,6900,40,0,58,1202,1
0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8,2.9,960,0,0,8,0,0
0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.8,2.9,960,0,0,8,0,0
0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.7,45.67,6960,26,0,58,884,0
