"hh_key","monthnumb","pricepromo","retailpromo","catalogpromo","item","gender","married","income","id"
117514,1,0,1,9,1,"F",0,42500,1
287398,1,0,0,1,1,"F",0,42500,2
469734,1,0,1,8,0,"F",1,250000,3
1054974,1,0,1,7,0,"F",1,137500,4
1060246,1,0,1,9,0,"F",1,62500,5
1061355,1,0,1,6,0,"F",1,87500,6
1061649,1,0,0,5,0,"M",1,225000,7
1062171,1,0,1,6,0,"F",1,250000,8
1063617,1,0,0,6,0,"F",1,250000,9
1068288,1,1,1,8,1,"F",0,30000,10
1071414,1,0,1,6,0,"F",1,62500,11
1077480,1,1,0,1,1,"F",0,62500,12
1081075,1,0,1,7,0,"F",1,250000,13
1081928,1,0,1,6,0,"F",1,62500,14
1082351,1,1,0,2,1,"F",0,30000,15
1087152,1,0,1,8,0,"F",1,187500,16
1089142,1,0,1,6,0,"F",1,87500,17
1091840,1,0,1,7,0,"F",1,30000,18
1094021,1,0,0,1,0,"F",1,87500,19
1094281,1,0,0,1,0,"F",1,62500,20
1100417,1,1,0,6,1,"F",1,62500,21
1100757,1,0,0,3,0,"F",0,112500,22
1102828,1,0,1,9,2,"F",0,62500,23
1103923,1,0,0,1,0,"F",1,225000,24
1107037,1,0,1,8,0,"F",1,112500,25
1108749,1,0,1,8,0,"F",0,87500,26
1108764,1,0,0,6,0,"F",0,62500,27
1111628,1,0,1,6,0,"F",1,137500,28
1111718,1,0,0,1,0,"F",1,112500,29
1114150,1,0,0,4,0,"F",0,30000,30
1117270,1,0,0,1,0,"M",1,20000,31
1120531,1,1,0,7,1,"F",1,62500,32
1122158,1,0,0,8,0,"F",0,62500,33
1128451,1,0,1,6,0,"F",1,42500,34
1136393,1,0,0,8,0,"F",0,112500,35
1136784,1,0,0,6,0,"M",0,225000,36
1139371,1,0,0,4,0,"F",0,42500,37
1139886,1,0,0,6,1,"F",1,112500,38
1144195,1,0,0,9,0,"M",1,250000,39
1144979,1,0,1,11,1,"F",1,112500,40
1145339,1,0,0,2,0,"F",1,62500,41
1145483,1,0,0,1,0,"F",0,7500,42
1146117,1,0,0,6,0,"M",0,87500,43
1147315,1,0,1,6,0,"F",1,187500,44
1148446,1,0,0,8,0,"F",0,20000,45
1149897,1,0,0,1,0,"M",0,30000,46
1149964,1,0,1,10,0,"F",1,42500,47
1150751,1,0,0,7,0,"M",0,7500,48
1150797,1,0,0,8,0,"F",1,162500,49
1151559,1,1,1,10,1,"F",1,112500,50
